organization_name,country_code,appearance_count,latitude,longitude,geocode_status,geocode_display_name,geocode_source,last_checked_at
National Museum of Emerging Science and Innovation,JP,2,35.61919021606445,139.77676391601562,ok,National Museum of Emerging Science and Innovation,openalex,2026-03-12T04:27:49+00:00
National Rehabilitation Center,KR,2,37.6385669,127.0105514,ok,"National Rehabilitation Center, Insubong-ro 55-gil, Suyu-dong, Insu-dong, Gangbuk-gu, Seoul, 01089, South Korea",nominatim,2026-03-11T23:03:25+00:00
National Renewable Energy Laboratory,US,1,39.7407278,-105.1686583,ok,"Visitors Center, 15013, Denver West Parkway, Applewood, Jefferson County, Colorado, 80401, United States",nominatim,2026-03-12T03:29:02+00:00
National Research Center for Rehabilitation Technical Aids,CN,4,39.907501220703125,116.39723205566406,ok,National Research Center for Rehabilitation Technical Aids,openalex,2026-03-12T00:30:04+00:00
National Research Council,IT,28,41.89193,12.51133,ok,National Research Council,openalex,2026-03-12T00:55:42+00:00
National Research Council Canada,CA,1,45.41117,-75.69812,ok,National Research Council Canada,openalex,2026-03-12T03:36:59+00:00
National Research Tomsk State University,RU,4,56.469515,84.947536,ok,Tomsk State University,wikipedia_wikidata,2026-03-12T12:11:52+00:00
National Space Science Center,CN,1,39.9809954,116.3308753,ok,"National Space Science Center, CAS, 中关村南三条, Zhongguancun, Haidian District, Beijing, 100190, China",nominatim,2026-03-12T06:45:34+00:00
National Stroke Association of Malaysia,MY,1,3.794487953186035,103.32489776611328,ok,National Stroke Association of Malaysia,openalex,2026-03-12T00:52:15+00:00
National Sun Yat-sen University,TW,11,22.626667022705078,120.26583099365234,ok,National Sun Yat-sen University,openalex,2026-03-12T01:08:03+00:00
National Supercomputing Center in Wuxi,CN,1,31.54596710205078,120.25511932373047,ok,National Supercomputing Center in Wuxi,openalex,2026-03-12T03:50:57+00:00
National Synchrotron Radiation Research Center,TW,1,42.9611,-89.2905,ok,Synchrotron Radiation Center,wikipedia_wikidata,2026-03-12T05:41:59+00:00
National Taipei University,TW,3,24.9431604,121.36866,ok,"National Taipei University, 151, Tahsueh Road, Longxue Village, Sanxia District, Special-use Zone of National Taipei University, New Taipei, 237303, Taiwan",nominatim,2026-03-12T11:26:01+00:00
National Taipei University of Technology,TW,2,25.05306,121.52639,ok,National Taipei University of Technology,openalex,2026-03-12T03:50:50+00:00
National Taiwan Normal University,TW,1,25.0082321,121.5357715,ok,"National Taiwan Normal University (Gongguan Campus), 88, Tingzhou Road Section 4, Wannian Village, Wenshan District, Gongguan, Taipei, 11677, Taiwan",nominatim,2026-03-12T11:56:28+00:00
National Taiwan University,TW,84,25.05306,121.52639,ok,National Taiwan University,openalex,2026-03-11T19:57:26+00:00
National Taiwan University Hospital,TW,9,25.042715072631836,121.5175552368164,ok,National Taiwan University Hospital,openalex,2026-03-11T19:57:29+00:00
National Taiwan University of Science and Technology,TW,17,25.013686,121.540535,ok,National Taiwan University of Science and Technology,wikipedia_wikidata,2026-03-11T20:57:52+00:00
National Technical University of Athens,GR,62,37.983760833740234,23.727840423583984,ok,National Technical University of Athens,openalex,2026-03-11T20:31:27+00:00
National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”,UA,2,50.45465850830078,30.523799896240234,ok,National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”,openalex,2026-03-12T03:37:06+00:00
National Tsing Hua University,TW,17,24.793611526489258,120.9927749633789,ok,National Tsing Hua University,openalex,2026-03-12T03:33:41+00:00
National University College,KR,2,23.954444444444444,90.38194444444444,ok,"National University, Bangladesh",wikipedia_wikidata,2026-03-12T04:29:41+00:00
National University Health System,SG,4,1.2896699905395508,103.85006713867188,ok,National University Health System,openalex,2026-03-11T20:12:17+00:00
National University Heart Centre Singapore,SG,3,1.2944480180740356,103.78317260742188,ok,National University Heart Centre Singapore,,2026-03-12T06:27:10+00:00
National University Hospital,SG,9,1.2944799661636353,103.78335571289062,ok,National University Hospital,openalex,2026-03-11T19:49:44+00:00
National University of Defense Technology,CN,101,28.22833333333333,112.995,ok,National University of Defense Technology,wikipedia_wikidata,2026-03-12T01:48:52+00:00
National University of Distance Education,ES,3,40.41889,-3.6919399999999998,ok,National University of Distance Education,wikipedia_wikidata,2026-03-12T03:42:16+00:00
National University of Ireland,IE,1,53.3383826,-6.2471783,ok,"National University of Ireland, 49, Merrion Square East, South Dock ED, Dublin, County Dublin, Leinster, D01 VY60, Ireland",nominatim,2026-03-12T10:51:05+00:00
"National University of Ireland,Maynooth",IE,3,53.338388888888886,-6.247194444444444,ok,National University of Ireland,wikipedia_wikidata,2026-03-11T21:46:40+00:00
National University of Kyiv Mohyla Academy,UA,1,50.45466,30.5238,ok,National University of Kyiv-Mohyla Academy,openalex,2026-03-12T03:27:04+00:00
National University of Malaysia,MY,3,2.9000000953674316,101.78333282470703,ok,National University of Malaysia,openalex,2026-03-12T00:15:18+00:00
National University of San Juan,AR,4,-31.54083333,-68.57777778,ok,National University of San Juan,wikipedia_wikidata,2026-03-12T08:30:01+00:00
National University of Science and Technology,RU,7,55.752220153808594,37.61555862426758,ok,National University of Science and Technology,openalex,2026-03-12T02:56:42+00:00
National University of Sciences and Technology,PK,5,33.72148132324219,73.04328918457031,ok,National University of Sciences and Technology,openalex,2026-03-12T03:32:50+00:00
National University of Singapore,SG,608,1.28967,103.85007,ok,National University of Singapore,openalex,2026-03-11T19:41:02+00:00
National University of Tainan,TW,2,22.990829467773438,120.21333312988281,ok,National University of Tainan,openalex,2026-03-12T03:33:44+00:00
National Yang Ming Chiao Tung University,TW,38,24.795861,120.9847659,ok,National Chiao Tung University,wikipedia_wikidata,2026-03-11T20:55:54+00:00
National Yunlin University of Science and Technology,TW,4,23.69196128845215,120.53459930419922,ok,National Yunlin University of Science and Technology,openalex,2026-03-12T04:40:09+00:00
National and Kapodistrian University of Athens,GR,7,37.983760833740234,23.727840423583984,ok,National and Kapodistrian University of Athens,openalex,2026-03-11T20:19:35+00:00
Nationwide Children's Hospital,US,1,39.953235,-82.979359,ok,Nationwide Children's Hospital,wikipedia_wikidata,2026-03-12T08:39:09+00:00
Naval Academy,TR,2,12.0411,75.1939,ok,Indian Naval Academy,wikipedia_wikidata,2026-03-12T05:52:02+00:00
Naval Aeronautical and Astronautical University,CN,1,37.4630126953125,121.44405364990234,ok,Naval Aeronautical and Astronautical University,,2026-03-12T02:14:16+00:00
Naval Group (France),FR,1,47.7496087,-3.3541062,ok,"Naval group, Cité Salvador Allende, Lorient, Morbihan, Brittany, Metropolitan France, 56100, France",nominatim,2026-03-12T09:16:34+00:00
Naval Postgraduate School,US,4,36.60024,-121.89468,ok,Naval Postgraduate School,openalex,2026-03-12T03:38:40+00:00
Naval Research Laboratory Information Technology Division,US,1,38.8950368,-77.0365427,ok,"Washington, District of Columbia, United States",wikidata_search_description_place,2026-03-27T04:18:30+00:00
Navarre Institute of Health Research,ES,1,42.816871643066406,-1.6432299613952637,ok,Navarre Institute of Health Research,openalex,2026-03-11T20:16:31+00:00
Naver (South Korea),KR,7,37.43861,127.13778,ok,Naver (South Korea),openalex,2026-03-12T02:55:37+00:00
Nazarbayev University,KZ,50,51.09,71.39944444,ok,Nazarbayev University,wikipedia_wikidata,2026-03-11T21:12:45+00:00
Nebraska Methodist College,US,6,41.25626,-95.94043,ok,Nebraska Methodist College,openalex,2026-03-12T04:19:35+00:00
Neijiang Normal University,CN,1,29.6192996,105.0992294,ok,"Neijiang Normal University Gaoqiao Campus, G321;S308, Shengli, Dongxing, Dongxing District, Neijiang, Sichuan, China",nominatim,2026-03-12T09:49:16+00:00
NetEase (China),CN,6,39.90593719482422,116.31217956542969,ok,NetEase (China),openalex,2026-03-12T03:26:50+00:00
Netaji Subhas University of Technology,IN,4,28.610833333333,77.0375,ok,Netaji Subhas University of Technology,wikipedia_wikidata,2026-03-12T01:17:14+00:00
Netherlands Comprehensive Cancer Organisation,NL,4,51.44083023071289,5.477779865264893,ok,Netherlands Comprehensive Cancer Organisation,openalex,2026-03-12T03:31:11+00:00
Network Technologies (United States),US,1,43.1054762,-89.5246265,ok,"Network Engineering Technologies, 3140, Deming Way, Middleton Corporate Center, Middleton, Dane County, Wisconsin, 53562, United States",nominatim,2026-03-12T05:54:31+00:00
Neurobiologie de l'Olfaction et Modélisation en Imagerie,FR,3,48.759090423583984,2.1696600914001465,ok,Neurobiologie de l'Olfaction et Modélisation en Imagerie,,2026-03-12T06:48:14+00:00
Neurological Surgery,US,17,40.656349182128906,-73.65103149414062,ok,Neurological Surgery,openalex,2026-03-11T20:06:48+00:00
Neuroscience Research Australia,AU,1,-33.86785125732422,151.2073211669922,ok,Neuroscience Research Australia,openalex,2026-03-12T00:38:43+00:00
New Generation University College,ET,1,9.0900409,36.5565811,ok,"New generation university college, Haile Fida Street, Naqamte, East Wellega, Oromia Region, Ethiopia",nominatim,2026-03-12T08:38:38+00:00
New Jersey Institute of Technology,US,17,40.735660552978516,-74.17237091064453,ok,New Jersey Institute of Technology,openalex,2026-03-12T00:11:19+00:00
New Mexico State University,US,5,32.31232,-106.77834,ok,New Mexico State University,openalex,2026-03-12T00:29:08+00:00
New York City Health and Hospitals Corporation,US,1,40.7155827,-74.0021282,ok,"New York City Health and Hospitals Corporation, 125, Worth Street, Civic Center, Lower Manhattan, Manhattan, New York County, New York, 10013, United States",nominatim,2026-03-11T21:35:44+00:00
New York University,US,101,40.714271545410156,-74.00596618652344,ok,New York University,openalex,2026-03-11T20:20:48+00:00
New York University Abu Dhabi,AE,11,24.45118,54.39696,ok,New York University Abu Dhabi,openalex,2026-03-12T00:33:42+00:00
NewYork–Presbyterian Hospital,US,1,40.714271545410156,-74.00596618652344,ok,NewYork–Presbyterian Hospital,openalex,2026-03-11T20:16:54+00:00
Newcastle University,GB,24,54.97328,-1.61396,ok,Newcastle University,openalex,2026-03-11T19:55:12+00:00
Newcastle University Singapore,SG,1,1.3729859590530396,103.84789276123047,ok,Newcastle University Singapore,openalex,2026-03-12T00:05:54+00:00
Newcastle upon Tyne Hospitals NHS Foundation Trust,GB,2,54.976863861083984,-1.6461999416351318,ok,Newcastle upon Tyne Hospitals NHS Foundation Trust,openalex,2026-03-12T00:23:48+00:00
Nexstim (Finland),FI,4,60.19422149658203,24.950481414794922,ok,Nexstim (Finland),,2026-03-12T11:15:40+00:00
Nexus Institute for Cooperation Management and Interdisciplinary Research,DE,2,52.515296936035156,13.312131881713867,ok,Nexus Institute for Cooperation Management and Interdisciplinary Research,,2026-03-12T06:22:50+00:00
Nezhat Medical Center,US,2,33.905704498291016,-84.35209655761719,ok,Nezhat Medical Center,openalex,2026-03-11T20:30:27+00:00
Nicolaus Copernicus University,PL,2,53.0153,18.5722,ok,Nicolaus Copernicus University in Toruń,wikipedia_wikidata,2026-03-12T05:12:55+00:00
Nihon University,JP,1,35.691001892089844,139.73760986328125,ok,Nihon University,openalex,2026-03-12T00:42:36+00:00
Niigata University,JP,2,37.88637161254883,139.00588989257812,ok,Niigata University,openalex,2026-03-11T20:31:15+00:00
Ninewells Hospital,GB,4,56.463897705078125,-3.037874937057495,ok,Ninewells Hospital,openalex,2026-03-12T00:51:44+00:00
Ningbo Institute of Industrial Technology,CN,18,29.878189086914062,121.54945373535156,ok,Ningbo Institute of Industrial Technology,openalex,2026-03-12T00:11:14+00:00
Ningbo University,CN,19,30.263611111111,120.12083333333,ok,Zhejiang University,wikipedia_wikidata,2026-03-11T22:30:04+00:00
Ningbo University of Technology,CN,16,29.87819,121.54945,ok,Ningbo University of Technology,openalex,2026-03-12T00:27:47+00:00
Ningxia University,CN,1,38.46805953979492,106.27306365966797,ok,Ningxia University,openalex,2026-03-12T03:14:55+00:00
Nini Hospital,IT,1,34.4354153,35.830454,ok,"مستشفى النيني, شارع عشير الدايه, باب الرمل, طرابلس, قضاء طرابلس, محافظة الشمال, 1300, لبنان",,2026-03-12T01:19:10+00:00
Nio (China),CN,1,23.1076659,113.3186395,ok,"NIO House, Yiyuan Road, 新市头, Chigang Sub-District, Haizhu District, Guangzhou City, Guangdong, 510310, China",nominatim,2026-03-12T03:26:20+00:00
Nippon Medical School Hospital,JP,1,35.7212664,139.7590849,ok,"Nippon Medical School Hospital, 補助第179号線, Yayoi 1, Yayoi, Bunkyō, Tokyo, 113-0032, Japan",nominatim,2026-03-12T11:08:27+00:00
Nippon Soken (Japan),JP,1,35.0442455,135.7444956,ok,"Sōken-in, Imamiya Street, Takagamine-Kinohatacho, Kita Ward, Kyoto, Kyoto Prefecture, 603-8233, Japan",nominatim,2026-03-11T21:44:58+00:00
Nizhny Novgorod Research Institute of Traumatology and Orthopedics,RU,1,56.328670501708984,44.00204849243164,ok,Nizhny Novgorod Research Institute of Traumatology and Orthopedics,,2026-03-12T05:44:57+00:00
Niğde Ömer Halisdemir Üniversitesi,TR,1,37.9412872,34.6244246,ok,Niğde Ömer Halisdemir University,wikipedia_wikidata,2026-03-12T06:18:09+00:00
Nokia (Germany),DE,3,48.11546325683594,11.597078323364258,ok,Nokia (Germany),openalex,2026-03-12T03:53:18+00:00
Nokia (United States),US,1,32.894039154052734,-96.96580505371094,ok,Nokia (United States),openalex,2026-03-11T19:52:56+00:00
Norrköping Hospital,SE,1,58.56327438354492,16.178749084472656,ok,Norrköping Hospital,openalex,2026-03-12T03:53:28+00:00
North Bristol NHS Trust,GB,2,51.455230712890625,-2.5966498851776123,ok,North Bristol NHS Trust,openalex,2026-03-11T20:13:21+00:00
North Carolina Central University,US,1,35.97645,-78.90092,ok,North Carolina Central University,wikipedia_wikidata,2026-03-12T10:08:29+00:00
North Carolina State University,US,138,35.7721,-78.63861,ok,North Carolina State University,openalex,2026-03-11T19:38:22+00:00
North Central State College,US,19,40.797027587890625,-82.58155059814453,ok,North Central State College,openalex,2026-03-11T19:38:19+00:00
North China Electric Power University,CN,15,39.907501220703125,116.39723205566406,ok,North China Electric Power University,openalex,2026-03-12T00:49:37+00:00
North China Institute of Aerospace Engineering,CN,1,39.526268005371094,116.73136901855469,ok,North China Institute of Aerospace Engineering,,2026-03-11T22:23:15+00:00
North China University of Science and Technology,CN,2,22.600555555556,113.99472222222,ok,Southern University of Science and Technology,wikipedia_wikidata,2026-03-12T07:30:02+00:00
North China University of Technology,CN,21,39.907501220703125,116.39723205566406,ok,North China University of Technology,openalex,2026-03-12T00:24:46+00:00
North Dakota State University,US,2,46.8916,-96.8003,ok,North Dakota State University,wikipedia_wikidata,2026-03-12T05:06:03+00:00
North Devon District Hospital,GB,1,51.0916875,-4.0506732,ok,"North Devon District Hospital, Roborough Road, Derby, Barnstaple, North Devon, Devon, Devon and Torbay, England, EX31 4HX, United Kingdom",nominatim,2026-03-12T07:35:59+00:00
North University of China,CN,22,39.948333333333,116.3175,ok,Minzu University of China,wikipedia_wikidata,2026-03-11T21:39:54+00:00
North-West University,NG,1,-26.693492,27.093062,ok,North-West University,wikipedia_wikidata,2026-03-12T00:53:48+00:00
NorthShore University HealthSystem,US,10,40.7775,-73.70166666666667,ok,North Shore University Hospital,wikipedia_wikidata,2026-03-11T21:56:07+00:00
Northampton General Hospital,GB,1,52.236000061035156,-0.8812999725341797,ok,Northampton General Hospital,openalex,2026-03-11T20:18:54+00:00
Northeast Electric Power University,CN,3,43.850830078125,126.5602798461914,ok,Northeast Electric Power University,openalex,2026-03-12T02:56:09+00:00
Northeast Forestry University,CN,21,45.724,126.6403,ok,Northeast Forestry University,wikipedia_wikidata,2026-03-11T23:01:20+00:00
Northeast Petroleum University,CN,1,46.58332824707031,125.0,ok,Northeast Petroleum University,openalex,2026-03-12T04:26:23+00:00
Northeastern State University,US,1,42.34,-71.08833333333334,ok,Northeastern University,wikipedia_wikidata,2026-03-12T08:09:15+00:00
Northeastern University,CN,325,41.79222106933594,123.43277740478516,ok,Northeastern University,openalex,2026-03-11T19:49:47+00:00
Northern Arizona University,US,25,35.19807052612305,-111.6512680053711,ok,Northern Arizona University,openalex,2026-03-12T00:59:15+00:00
Northern Illinois University,US,1,41.9342,-88.7689,ok,2008 Northern Illinois University shooting,wikipedia_wikidata,2026-03-12T09:01:50+00:00
Northrop Grumman (United States),US,4,38.88233184814453,-77.17108917236328,ok,Northrop Grumman (United States),openalex,2026-03-12T01:08:38+00:00
Northumbria University,GB,8,54.9764,-1.608,ok,Northumbria University,wikipedia_wikidata,2026-03-11T21:38:19+00:00
Northvolt (Sweden),SE,1,59.6399235,16.5964983,ok,"Northvolt Labs AB, Lunda, Västerås, Västerås kommun, Västmanland County, Sweden",nominatim,2026-03-12T01:46:46+00:00
Northwell Health,US,4,40.73509979248047,-73.68791198730469,ok,Northwell Health,openalex,2026-03-11T19:44:01+00:00
Northwest A&F University,CN,1,34.144994,108.874581,ok,Northwest University (China),wikipedia_wikidata,2026-03-12T09:09:02+00:00
Northwest Normal University,CN,1,36.057010650634766,103.8398666381836,ok,Northwest Normal University,openalex,2026-03-12T03:56:33+00:00
Northwest University,CN,9,34.258331298828125,108.9286117553711,ok,Northwest University,openalex,2026-03-11T20:29:02+00:00
Northwest Vista College,US,1,29.472000122070312,-98.70600128173828,ok,Northwest Vista College,openalex,2026-03-11T20:09:59+00:00
Northwestern Polytechnic University,CN,1,34.244722222222,108.91166666667,ok,Northwestern Polytechnical University,wikipedia_wikidata,2026-03-12T02:56:24+00:00
Northwestern Polytechnical University,CN,253,34.244722222222,108.91166666667,ok,Northwestern Polytechnical University,wikipedia_wikidata,2026-03-11T22:50:02+00:00
Northwestern University,US,349,42.04114,-87.69006,ok,Northwestern University,openalex,2026-03-11T19:47:19+00:00
Norwegian Computing Center,NO,1,59.9127311706543,10.746089935302734,ok,Norwegian Computing Center,openalex,2026-03-12T01:03:54+00:00
Norwegian University of Life Sciences,NO,14,59.66471862792969,10.794650077819824,ok,Norwegian University of Life Sciences,openalex,2026-03-11T20:31:22+00:00
Norwegian University of Science and Technology,NO,32,63.43049,10.39506,ok,Norwegian University of Science and Technology,openalex,2026-03-12T01:03:30+00:00
Norwegian Veterinary Institute,NO,1,59.9127311706543,10.746089935302734,ok,Norwegian Veterinary Institute,openalex,2026-03-12T03:37:02+00:00
Notre Dame University – Louaize,LB,1,33.95667,35.62,ok,Notre Dame University – Louaize,openalex,2026-03-12T04:13:57+00:00
Nottingham Trent University,GB,2,52.9564,-1.15203,ok,Nottingham Trent University,wikipedia_wikidata,2026-03-11T20:50:47+00:00
Nottingham University Hospitals NHS Trust,GB,2,52.9536018371582,-1.1504700183868408,ok,Nottingham University Hospitals NHS Trust,,2026-03-12T11:35:40+00:00
Novartis (United States),US,1,40.714271545410156,-74.00596618652344,ok,Novartis (United States),openalex,2026-03-11T20:30:19+00:00
Novosibirsk State University,RU,1,54.8429,83.097,ok,Novosibirsk State University,wikipedia_wikidata,2026-03-12T07:37:26+00:00
Nuffield Orthopaedic Centre,GB,3,51.7545087,-1.2093616,ok,"Nuffield Orthopaedic Centre, Windmill Road, Headington, Oxford, Oxfordshire, England, OX3 7DN, United Kingdom",nominatim,2026-03-11T21:21:29+00:00
Nuovo Ospedale San Giovanni di Dio,IT,1,43.75791931152344,11.20387077331543,ok,Nuovo Ospedale San Giovanni di Dio,openalex,2026-03-12T00:23:51+00:00
Nuremberg Hospital,DE,2,49.46275329589844,11.063570976257324,ok,Nuremberg Hospital,openalex,2026-03-12T00:23:41+00:00
Nvidia (United Kingdom),GB,9,51.45625,-0.97113,ok,Nvidia (United Kingdom),openalex,2026-03-12T03:55:03+00:00
Nvidia (United States),US,26,37.35411071777344,-121.95523834228516,ok,Nvidia (United States),openalex,2026-03-11T20:28:35+00:00
OLVG,NL,11,52.3581465,4.915323,ok,"OLVG, locatie Oost, Blasiusstraat, Oosterparkbuurt, Oost, Amsterdam, North Holland, Netherlands, 1091 CX, Netherlands",nominatim,2026-03-11T21:54:27+00:00
ORSI Academy,BE,18,50.980464935302734,3.820330858230591,ok,ORSI Academy,openalex,2026-03-11T19:46:15+00:00
OSF HealthCare,US,1,41.7465844,-87.7987834,ok,"OSF Healthcare, Neva Avenue, Burbank, Stickney Township, Cook County, Illinois, 60459, United States",nominatim,2026-03-12T08:24:44+00:00
Oak Ridge National Laboratory,US,10,36.01036071777344,-84.26963806152344,ok,Oak Ridge National Laboratory,openalex,2026-03-11T20:13:37+00:00
Oakland University,US,2,42.68059158325195,-83.13381958007812,ok,Oakland University,openalex,2026-03-12T04:31:26+00:00
Obayashi (Japan),JP,1,35.701839447021484,139.41049194335938,ok,Obayashi (Japan),openalex,2026-03-12T04:05:12+00:00
ObjectVideo (United States),US,1,38.94768524169922,-77.34833526611328,ok,ObjectVideo (United States),,2026-03-12T07:03:13+00:00
Observatoire Régional de la Santé d’Alsace,FR,1,48.577327728271484,7.748926162719727,ok,Observatoire Régional de la Santé d’Alsace,openalex,2026-03-11T19:49:42+00:00
Obuda University,HU,4,47.498348236083984,19.040449142456055,ok,Obuda University,openalex,2026-03-12T00:02:28+00:00
Ocean University of China,CN,14,36.06488037109375,120.38041687011719,ok,Ocean University of China,openalex,2026-03-12T00:56:03+00:00
Ochanomizu University,JP,1,35.68949890136719,139.69171142578125,ok,Ochanomizu University,openalex,2026-03-12T00:54:32+00:00
Oculus Innovative Sciences (United States),US,1,38.2678337097168,-122.65870666503906,ok,Oculus Innovative Sciences (United States),openalex,2026-03-12T00:58:10+00:00
Odense University Hospital,DK,4,55.3855987,10.3641159,ok,"Odense University Hospital, Falen, Snap-ind, Odense, Odense Municipality, 5000, Denmark",nominatim,2026-03-11T21:57:01+00:00
Offenburg University of Applied Sciences,DE,3,48.47377014160156,7.944950103759766,ok,Offenburg University of Applied Sciences,openalex,2026-03-12T04:33:44+00:00
Office of Environmental Management,KR,1,38.887016,-77.025607,ok,Office of Environmental Management,wikidata_search,2026-03-27T00:11:18+00:00
Office of Multidisciplinary Activities,US,2,38.88056564331055,-77.11100006103516,ok,Office of Multidisciplinary Activities,openalex,2026-03-11T20:21:24+00:00
Ogaki Municipal Hospital,JP,2,35.349998474121094,136.61666870117188,ok,Ogaki Municipal Hospital,openalex,2026-03-12T03:44:20+00:00
Ohio University,US,1,39.3275,-82.1,ok,Ohio University,wikipedia_wikidata,2026-03-11T23:59:10+00:00
Oita University,JP,1,33.17545555555556,131.61325,ok,Oita University,wikipedia_wikidata,2026-03-12T05:40:21+00:00
Okayama Prefectural University,JP,3,34.691131591796875,133.78086853027344,ok,Okayama Prefectural University,openalex,2026-03-12T00:14:28+00:00
Okayama University,JP,34,34.650001525878906,133.93333435058594,ok,Okayama University,openalex,2026-03-12T00:58:28+00:00
Okayama University Hospital,JP,1,34.650001525878906,133.93333435058594,ok,Okayama University Hospital,openalex,2026-03-11T19:35:31+00:00
Okehampton Hospital,GB,3,50.73841,-4.0016,ok,Okehampton Hospital,openalex,2026-03-11T20:29:58+00:00
Okinawa Institute of Science and Technology Graduate University,JP,5,26.475950241088867,127.852783203125,ok,Okinawa Institute of Science and Technology Graduate University,openalex,2026-03-12T04:05:03+00:00
Oklahoma City University,US,1,35.495086669921875,-97.54198455810547,ok,Oklahoma City University,openalex,2026-03-12T00:50:03+00:00
Oklahoma State University,US,15,36.11560821533203,-97.0583724975586,ok,Oklahoma State University,openalex,2026-03-11T20:19:55+00:00
Old Dominion University,US,5,36.84680938720703,-76.28521728515625,ok,Old Dominion University,openalex,2026-03-11T20:21:47+00:00
Oldenburger Institut für Informatik,DE,4,53.14118,8.21467,ok,Oldenburger Institut für Informatik,openalex,2026-03-12T04:38:10+00:00
Oldham Council,GB,1,53.5423989,-2.1165553,ok,"Oldham Council, West Street, Coldhurst, Chadderton, Oldham, Greater Manchester, England, OL1 1UT, United Kingdom",nominatim,2026-03-12T06:49:57+00:00
Ollscoil na Gaillimhe – University of Galway,IE,8,53.2724494934082,-9.050950050354004,ok,Ollscoil na Gaillimhe – University of Galway,openalex,2026-03-12T01:03:48+00:00
Olympus (Germany),DE,1,53.5475409,10.0281132,ok,"Olympus Deutschland GmbH, Wendenstraße, Hammerbrook, Hamburg-Mitte, Hamburg, 20097, Germany",nominatim,2026-03-12T07:31:38+00:00
Olympus (Japan),JP,4,-77.4833,161.5,ok,Olympus Range,wikipedia_wikidata,2026-03-11T23:30:45+00:00
Omron (Japan),JP,31,34.9866799,135.7544148,ok,"OMRON Corporation, Shiokōji Street, Minamifudondocho, Shimogyo Ward, Kyoto, Kyoto Prefecture, 600-8233, Japan",nominatim,2026-03-11T22:21:40+00:00
Onco-Urologie Prédictive,FR,1,47.9870225,-4.0959027,ok,"Onco'Kerné, Avenue Yves Thépot, Quatre Chemins, Prat Maria, La Tourelle, Quimper, Finistère, Brittany, Metropolitan France, 29000, France",nominatim,2026-03-12T00:05:37+00:00
Oncode Institute,NL,3,52.0908317565918,5.122220039367676,ok,Oncode Institute,,2026-03-12T01:55:32+00:00
Ondokuz Mayıs University,TR,2,39.7914,30.4997,ok,Anadolu University,wikipedia_wikidata,2026-03-12T05:13:39+00:00
Onze Lieve Vrouwziekenhuis Hospital,BE,33,50.943885803222656,4.055221080780029,ok,Onze Lieve Vrouwziekenhuis Hospital,openalex,2026-03-11T20:09:00+00:00
Open Source Robotics Foundation,US,2,37.38775634765625,-122.0651626586914,ok,Open Source Robotics Foundation,openalex,2026-03-12T04:15:08+00:00
Open University of China,CN,2,39.9070091,116.266345,ok,"Open University of China, 复兴路, Yongding Road, Haidian District, Beijing, 100039, China",nominatim,2026-03-12T11:28:03+00:00
OpenAI (United States),US,20,37.77492904663086,-122.41941833496094,ok,OpenAI (United States),openalex,2026-03-12T03:23:27+00:00
Orange (France),FR,1,43.5149254,5.4263436,ok,"Orange France, 411, Pont de l'Arc, Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13090, France",nominatim,2026-03-12T05:50:15+00:00
Orbital Research (United States),US,2,41.504207611083984,-81.65594482421875,ok,Orbital Research (United States),openalex,2026-03-12T03:38:43+00:00
Oregon Health & Science University,US,13,45.4981929,-122.6864957,ok,"Oregon Health & Science University, 3181, Moody Avenue Trail, South Waterfront, South Portland, Portland, Multnomah County, Oregon, 97239, United States",,2026-03-11T00:26:21+00:00
Oregon State University,US,50,44.56457,-123.26204,ok,Oregon State University,openalex,2026-03-11T19:59:28+00:00
Orient-Institut Istanbul,TR,2,41.0206701,28.787132,ok,"Orient, 46/A, Başkomutan Atatürk Caddesi, Söğütlü Çeşme Mahallesi, Küçükçekmece, Istanbul, Marmara Region, 34295, Turkey",nominatim,2026-03-12T03:41:23+00:00
Orlando Health,US,5,28.525463104248047,-81.37731170654297,ok,Orlando Health,openalex,2026-03-11T20:05:10+00:00
Osaka City University,JP,6,34.592736111111,135.50753888889,ok,Osaka City University,wikipedia_wikidata,2026-03-12T08:18:51+00:00
Osaka Electro-Communication University,JP,4,34.7093677,135.5033041,ok,"Elemeka Laboratory - Electro-Mechanical Arcade Games, 神明筋, Nakazaki-nishi 2-chome, Kita Ward, Osaka, Osaka Prefecture, 530-0015, Japan",nominatim,2026-03-12T02:43:21+00:00
Osaka Gakuin University,JP,1,34.77369444,135.54155556,ok,Osaka Gakuin University,wikipedia_wikidata,2026-03-12T09:30:25+00:00
Osaka Health Science University,JP,1,34.69379,135.50107,ok,Osaka Health Science University,openalex,2026-03-12T03:55:19+00:00
Osaka Kyoiku University,JP,2,34.55165481567383,135.6497039794922,ok,Osaka Kyoiku University,openalex,2026-03-12T03:40:28+00:00
Osaka Medical Center for Cancer and Cardiovascular Diseases,JP,2,34.6761695,135.534883,ok,"Nakamichi 3-chome, Higashinari Ward, Osaka, Osaka Prefecture, 537-0025, Japan","manual_geocode:1-3-3 Nakamichi, Higashinari-ku, Osaka 537-8511, Japan",2026-03-27T10:33:54+00:00
